,카테고리,year,month,day
664,"초밥,롤",2023,12,5
665,"초밥,롤",2024,1,18
666,"초밥,롤",2024,3,28
667,"초밥,롤",2023,9,25
668,"초밥,롤",2024,2,17
669,"초밥,롤",2024,6,1
670,"초밥,롤",2024,4,16
671,"초밥,롤",2023,9,12
672,"초밥,롤",2024,1,12
673,"초밥,롤",2024,2,8
674,"초밥,롤",2023,11,30
675,"초밥,롤",2024,1,19
676,"초밥,롤",2024,3,3
677,"초밥,롤",2024,3,1
678,"초밥,롤",2024,3,24
679,"초밥,롤",2024,6,1
680,"초밥,롤",2024,3,25
681,"초밥,롤",2024,3,11
682,"초밥,롤",2024,3,11
683,"초밥,롤",2024,4,5
684,"초밥,롤",2023,12,12
685,"초밥,롤",2024,2,3
686,"초밥,롤",2023,11,20
687,"초밥,롤",2024,1,12
688,"초밥,롤",2024,3,14
689,"초밥,롤",2024,3,24
690,"초밥,롤",2024,1,31
691,"초밥,롤",2024,1,23
692,"초밥,롤",2024,6,5
693,"초밥,롤",2024,4,14
694,"초밥,롤",2024,1,11
695,양갈비,2024,7,5
696,양갈비,2024,2,27
697,양갈비,2024,2,2
698,양갈비,2024,2,13
699,양갈비,2024,1,4
700,양갈비,2024,1,28
701,양갈비,2024,2,24
702,양갈비,2024,3,2
703,양갈비,2024,5,21
704,양갈비,2024,3,15
705,양갈비,2024,3,3
706,양갈비,2023,12,3
707,양갈비,2023,12,13
708,양갈비,2024,3,8
709,양갈비,2024,2,27
710,양갈비,2024,3,30
711,양갈비,2023,12,25
712,양갈비,2023,11,27
713,양갈비,2024,1,19
714,양갈비,2024,4,30
715,양갈비,2024,2,29
716,양갈비,2024,2,25
717,양갈비,2024,3,30
718,양갈비,2024,2,2
719,양갈비,2023,11,20
720,양갈비,2024,4,19
721,양갈비,2023,12,25
722,양갈비,2023,10,24
723,양갈비,2023,11,8
724,양갈비,2024,3,9
725,양갈비,2023,10,4
726,양갈비,2024,2,3
727,양갈비,2023,11,22
728,양갈비,2023,11,27
729,양갈비,2023,11,17
730,양갈비,2023,12,1
731,양갈비,2024,1,30
732,양갈비,2023,12,7
733,양갈비,2024,2,23
