,카테고리,time,강수량
526,퓨전음식,2024-05-20,0.0
527,퓨전음식,2024-04-09,0.0
528,퓨전음식,2024-05-22,0.0
529,퓨전음식,2024-06-19,0.0
530,퓨전음식,2024-05-13,0.0
531,퓨전음식,2024-05-11,31.7
532,퓨전음식,2024-06-19,0.0
533,퓨전음식,2024-06-13,0.0
534,퓨전음식,2024-05-17,0.0
535,퓨전음식,2024-04-20,4.8
536,퓨전음식,2024-04-24,9.0
537,퓨전음식,2024-02-13,0.0
538,퓨전음식,2024-03-02,0.0
539,퓨전음식,2024-06-13,0.0
540,퓨전음식,2024-06-13,0.0
541,퓨전음식,2024-05-23,0.0
542,퓨전음식,2024-05-16,0.1
543,퓨전음식,2024-06-12,0.0
544,퓨전음식,2024-03-16,0.0
545,퓨전음식,2024-04-09,0.0
546,퓨전음식,2024-03-16,0.0
547,퓨전음식,2024-03-29,1.4
548,퓨전음식,2024-03-03,0.0
549,퓨전음식,2024-03-25,5.1
550,퓨전음식,2024-05-17,0.0
551,퓨전음식,2024-05-02,0.0
552,퓨전음식,2024-06-30,32.2
553,퓨전음식,2024-01-21,0.4
554,퓨전음식,2024-04-08,0.0
555,퓨전음식,2024-03-02,0.0
556,퓨전음식,2024-03-04,0.0
557,퓨전음식,2024-02-29,0.0
558,퓨전음식,2023-11-16,8.4
559,퓨전음식,2024-04-10,0.0
560,퓨전음식,2024-04-18,0.0
561,퓨전음식,2023-12-16,1.5
562,퓨전음식,2023-11-25,0.0
563,퓨전음식,2024-04-01,0.0
564,퓨전음식,2024-05-24,0.0
565,퓨전음식,2024-03-23,0.1
566,퓨전음식,2024-03-22,5.4
567,퓨전음식,2024-06-11,0.0
568,퓨전음식,2024-03-30,0.0
569,퓨전음식,2024-02-14,0.0
570,퓨전음식,2024-03-17,0.1
571,퓨전음식,2024-01-27,0.0
572,퓨전음식,2023-11-23,0.1
573,퓨전음식,2024-04-06,0.0
574,퓨전음식,2024-03-19,0.2
575,퓨전음식,2024-05-25,0.0
576,퓨전음식,2024-05-25,0.0
577,퓨전음식,2024-04-21,0.0
578,퓨전음식,2024-02-26,0.0
579,퓨전음식,2024-04-14,0.0
580,퓨전음식,2023-11-23,0.1
581,퓨전음식,2024-04-20,4.8
582,퓨전음식,2024-01-21,0.4
583,퓨전음식,2024-02-02,0.0
584,퓨전음식,2024-05-07,2.4
585,퓨전음식,2024-01-31,0.0
586,퓨전음식,2024-01-12,0.0
587,퓨전음식,2024-01-18,0.5
588,퓨전음식,2024-03-27,0.0
589,퓨전음식,2024-01-06,2.4
590,퓨전음식,2024-02-15,10.9
591,퓨전음식,2024-04-21,0.0
592,퓨전음식,2024-06-16,0.0
593,퓨전음식,2024-03-23,0.1
594,퓨전음식,2023-11-24,0.0
595,퓨전음식,2024-03-15,0.0
596,퓨전음식,2024-03-18,0.0
597,퓨전음식,2024-04-24,9.0
598,퓨전음식,2024-02-07,0.0
599,퓨전음식,2024-04-16,2.3
600,"초밥,롤",2024-06-30,32.2
601,"초밥,롤",2024-07-01,0.0
602,"초밥,롤",2024-06-21,0.0
603,"초밥,롤",2024-07-01,0.0
604,"초밥,롤",2024-04-25,0.0
605,"초밥,롤",2024-06-09,0.0
606,"초밥,롤",2024-05-02,0.0
607,"초밥,롤",2024-06-13,0.0
608,"초밥,롤",2024-06-08,16.9
609,"초밥,롤",2024-06-30,32.2
610,"초밥,롤",2024-06-27,0.0
611,"초밥,롤",2024-07-04,3.6
612,"초밥,롤",2024-05-31,1.0
613,"초밥,롤",2024-06-14,0.0
614,"초밥,롤",2024-06-29,38.3
615,"초밥,롤",2024-06-08,16.9
616,"초밥,롤",2024-06-27,0.0
617,"초밥,롤",2024-06-28,0.0
618,"초밥,롤",2024-06-30,32.2
619,"초밥,롤",2024-06-28,0.0
620,"초밥,롤",2024-07-07,28.7
621,"초밥,롤",2024-07-07,28.7
622,"초밥,롤",2024-07-05,4.1
623,"초밥,롤",2024-06-19,0.0
624,"초밥,롤",2024-07-05,4.1
625,"초밥,롤",2024-06-28,0.0
626,"초밥,롤",2024-06-24,0.0
627,"초밥,롤",2024-03-06,0.0
628,"초밥,롤",2024-06-13,0.0
629,"초밥,롤",2024-06-12,0.0
630,"초밥,롤",2024-05-28,0.0
631,"초밥,롤",2024-06-09,0.0
632,"초밥,롤",2024-03-26,11.5
633,"초밥,롤",2024-07-01,0.0
634,"초밥,롤",2024-02-28,0.0
635,"초밥,롤",2024-07-02,65.1
636,"초밥,롤",2024-06-28,0.0
637,"초밥,롤",2024-03-23,0.1
638,"초밥,롤",2024-07-07,28.7
639,"초밥,롤",2024-02-17,0.0
640,"초밥,롤",2024-07-05,4.1
641,"초밥,롤",2024-07-04,3.6
642,"초밥,롤",2024-07-03,0.8
643,"초밥,롤",2024-03-11,0.0
644,"초밥,롤",2024-02-15,10.9
645,"초밥,롤",2024-04-27,0.0
646,"초밥,롤",2024-05-01,0.0
647,"초밥,롤",2024-04-14,0.0
648,"초밥,롤",2024-06-18,0.0
649,"초밥,롤",2024-03-04,0.0
650,"초밥,롤",2024-03-12,2.1
651,"초밥,롤",2024-03-13,0.0
652,"초밥,롤",2024-07-01,0.0
653,"초밥,롤",2024-02-24,2.3
654,"초밥,롤",2024-07-04,3.6
655,"초밥,롤",2024-04-28,0.0
656,"초밥,롤",2024-01-12,0.0
657,"초밥,롤",2024-04-03,0.0
658,"초밥,롤",2024-04-17,0.0
659,"초밥,롤",2024-04-09,0.0
660,"초밥,롤",2024-04-16,2.3
661,"초밥,롤",2024-04-03,0.0
662,"초밥,롤",2024-01-17,9.7
663,"초밥,롤",2024-02-16,0.0
664,"초밥,롤",2023-12-05,0.0
665,"초밥,롤",2024-01-18,0.5
666,"초밥,롤",2024-03-28,1.9
667,"초밥,롤",2023-09-25,1.9
668,"초밥,롤",2024-02-17,0.0
669,"초밥,롤",2024-06-01,0.0
670,"초밥,롤",2024-04-16,2.3
671,"초밥,롤",2023-09-12,0.0
672,"초밥,롤",2024-01-12,0.0
673,"초밥,롤",2024-02-08,0.0
674,"초밥,롤",2023-11-30,0.0
675,"초밥,롤",2024-01-19,0.0
676,"초밥,롤",2024-03-03,0.0
677,"초밥,롤",2024-03-01,0.0
678,"초밥,롤",2024-03-24,0.0
679,"초밥,롤",2024-06-01,0.0
680,"초밥,롤",2024-03-25,5.1
681,"초밥,롤",2024-03-11,0.0
682,"초밥,롤",2024-03-11,0.0
683,"초밥,롤",2024-04-05,0.0
684,"초밥,롤",2023-12-12,0.4
685,"초밥,롤",2024-02-03,0.0
686,"초밥,롤",2023-11-20,0.0
687,"초밥,롤",2024-01-12,0.0
688,"초밥,롤",2024-03-14,0.0
689,"초밥,롤",2024-03-24,0.0
690,"초밥,롤",2024-01-31,0.0
691,"초밥,롤",2024-01-23,0.0
692,"초밥,롤",2024-06-05,0.0
693,"초밥,롤",2024-04-14,0.0
694,"초밥,롤",2024-01-11,0.0
695,양갈비,2024-07-05,4.1
696,양갈비,2024-02-27,0.0
